Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,10,asymmetric,symmetric,0.27482704
75% Corpus,10,0.01,symmetric,0.27476416
100% Corpus,4,asymmetric,0.91,0.274684995
100% Corpus,5,0.61,0.31,0.274476545
100% Corpus,5,asymmetric,symmetric,0.27436282
75% Corpus,10,symmetric,symmetric,0.274090616
75% Corpus,5,asymmetric,0.61,0.273935207
100% Corpus,10,0.61,0.31,0.273505819
100% Corpus,5,0.31,0.31,0.273128481
100% Corpus,4,0.01,0.91,0.27309668
100% Corpus,4,0.31,0.91,0.27309668
100% Corpus,4,0.61,0.91,0.27309668
100% Corpus,4,symmetric,0.91,0.27309668
100% Corpus,5,0.01,symmetric,0.273075876
75% Corpus,7,0.01,0.61,0.272329704
75% Corpus,7,0.31,0.61,0.272329704
75% Corpus,7,symmetric,0.61,0.272329704
100% Corpus,5,0.31,0.61,0.272261639
100% Corpus,10,asymmetric,0.31,0.271882396
75% Corpus,10,0.91,symmetric,0.2717266
100% Corpus,5,asymmetric,0.91,0.271449229
100% Corpus,5,0.61,0.91,0.2714228
75% Corpus,3,asymmetric,0.91,0.271341477
100% Corpus,10,0.31,0.31,0.271264074
100% Corpus,5,0.61,symmetric,0.271179811
100% Corpus,5,0.91,symmetric,0.27111414
75% Corpus,4,asymmetric,symmetric,0.27105694
75% Corpus,4,asymmetric,0.91,0.270913839
75% Corpus,5,0.61,0.31,0.27065745
75% Corpus,5,0.91,0.31,0.27065745
100% Corpus,5,0.31,symmetric,0.270636984
100% Corpus,5,symmetric,symmetric,0.270636984
100% Corpus,5,0.91,0.61,0.27060595
75% Corpus,5,asymmetric,symmetric,0.270271579
100% Corpus,5,0.31,0.01,0.270218208
100% Corpus,5,0.01,0.01,0.270112076
100% Corpus,5,symmetric,0.01,0.270112076
100% Corpus,10,0.91,0.31,0.270108132
75% Corpus,5,0.91,symmetric,0.269940097
75% Corpus,3,0.91,0.01,0.269775738
75% Corpus,7,asymmetric,0.61,0.269767144
75% Corpus,5,0.61,symmetric,0.269724155
75% Corpus,4,0.61,symmetric,0.269718921
75% Corpus,4,0.91,symmetric,0.269718921
75% Corpus,7,0.61,0.61,0.269330964
75% Corpus,7,0.91,0.61,0.269330964
75% Corpus,5,asymmetric,0.31,0.269024928
75% Corpus,3,0.01,0.01,0.268735402
75% Corpus,3,0.31,0.01,0.268735402
75% Corpus,3,0.61,0.01,0.268735402
75% Corpus,3,symmetric,0.01,0.268735402
75% Corpus,10,0.61,symmetric,0.268697795
75% Corpus,5,0.01,symmetric,0.268668291
75% Corpus,5,0.31,symmetric,0.268668291
75% Corpus,5,symmetric,symmetric,0.268668291
100% Corpus,5,0.01,0.61,0.268626324
100% Corpus,3,0.01,0.61,0.268576488
100% Corpus,3,0.31,0.61,0.268576488
100% Corpus,3,0.61,0.61,0.268576488
100% Corpus,3,0.91,0.61,0.268576488
100% Corpus,3,symmetric,0.61,0.268576488
100% Corpus,3,asymmetric,0.61,0.268576488
100% Corpus,5,0.61,0.61,0.268464267
100% Corpus,5,0.61,0.01,0.268305406
75% Corpus,4,0.91,0.91,0.268203971
75% Corpus,5,0.01,0.31,0.26819323
75% Corpus,5,0.31,0.31,0.26819323
75% Corpus,5,symmetric,0.31,0.26819323
75% Corpus,4,0.01,0.01,0.268014718
75% Corpus,4,symmetric,0.01,0.268014718
75% Corpus,3,asymmetric,0.01,0.267811526
100% Corpus,5,symmetric,0.61,0.26719624
75% Corpus,4,0.31,0.01,0.26718202
75% Corpus,4,0.61,0.01,0.26718202
75% Corpus,4,asymmetric,0.01,0.26718202
75% Corpus,3,0.61,symmetric,0.267099432
75% Corpus,3,0.91,symmetric,0.267099432
75% Corpus,3,symmetric,symmetric,0.267099432
75% Corpus,3,asymmetric,0.31,0.267099432
100% Corpus,5,asymmetric,0.61,0.267023464
100% Corpus,5,0.91,0.91,0.266980594
75% Corpus,3,0.01,0.31,0.266076725
75% Corpus,3,0.31,0.31,0.266076725
75% Corpus,3,0.61,0.31,0.266076725
75% Corpus,3,0.91,0.31,0.266076725
75% Corpus,3,symmetric,0.31,0.266076725
75% Corpus,2,0.31,0.31,0.265789571
75% Corpus,2,0.61,0.31,0.265789571
75% Corpus,2,0.91,0.31,0.265789571
75% Corpus,2,symmetric,0.31,0.265789571
75% Corpus,2,asymmetric,0.31,0.265789571
100% Corpus,5,0.31,0.91,0.2657684
100% Corpus,5,symmetric,0.91,0.2657684
75% Corpus,3,0.01,0.61,0.265624137
75% Corpus,3,0.31,0.61,0.265624137
75% Corpus,3,0.61,0.61,0.265624137
75% Corpus,3,0.91,0.61,0.265624137
75% Corpus,3,symmetric,0.61,0.265624137
75% Corpus,3,asymmetric,0.61,0.265624137
100% Corpus,3,0.01,0.91,0.265501265
100% Corpus,3,0.31,0.91,0.265501265
100% Corpus,3,0.61,0.91,0.265501265
100% Corpus,3,0.91,0.91,0.265501265
100% Corpus,3,symmetric,0.91,0.265501265
100% Corpus,3,asymmetric,0.91,0.265384566
75% Corpus,2,0.01,0.01,0.264986597
75% Corpus,2,0.31,0.01,0.264986597
75% Corpus,2,0.61,0.01,0.264986597
75% Corpus,2,0.91,0.01,0.264986597
75% Corpus,2,symmetric,0.01,0.264986597
75% Corpus,2,asymmetric,0.01,0.264986597
75% Corpus,4,0.91,0.01,0.26448541
75% Corpus,2,0.01,0.61,0.264341245
75% Corpus,2,0.31,0.61,0.264341245
75% Corpus,2,0.61,0.61,0.264341245
75% Corpus,2,symmetric,0.61,0.264341245
75% Corpus,3,0.01,symmetric,0.263631557
75% Corpus,3,0.31,symmetric,0.263631557
75% Corpus,3,asymmetric,symmetric,0.263631557
75% Corpus,4,0.91,0.61,0.26361835
75% Corpus,4,0.91,0.31,0.26358432
75% Corpus,4,0.31,0.91,0.263388111
75% Corpus,4,0.61,0.91,0.263388111
75% Corpus,4,symmetric,0.91,0.263388111
75% Corpus,4,0.31,symmetric,0.263075641
75% Corpus,4,symmetric,symmetric,0.263075641
100% Corpus,5,0.91,0.01,0.262804494
100% Corpus,5,0.01,0.91,0.262753559
75% Corpus,4,0.61,0.31,0.26261939
75% Corpus,2,0.01,symmetric,0.262209545
75% Corpus,2,0.31,symmetric,0.262209545
75% Corpus,2,0.61,symmetric,0.262209545
75% Corpus,2,0.91,0.61,0.262209545
75% Corpus,2,symmetric,symmetric,0.262209545
75% Corpus,2,asymmetric,0.61,0.262209545
75% Corpus,2,asymmetric,symmetric,0.262209545
75% Corpus,4,0.01,symmetric,0.26220402
100% Corpus,5,asymmetric,0.01,0.262130773
75% Corpus,4,0.01,0.91,0.261792342
75% Corpus,4,asymmetric,0.31,0.261714526
75% Corpus,2,0.01,0.91,0.261459065
75% Corpus,2,0.31,0.91,0.261459065
75% Corpus,2,0.61,0.91,0.261459065
75% Corpus,2,0.91,0.91,0.261459065
